Country,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027
Eritrea,,,,,,,,,,,,,268.192,167.084,195.44,219.091,263.808,270.574,283.919,274.584,238.508,245.162,227.498,258.933,315.55,300.697,321.219,340.334,301.238,415.601,501.424,642.502,693.804,596.754,786.54,603.193,655.424,557.857,580.845,566.731,595.657,611.174,646.957,699.443,741.746,790.867,846.001,906.782
Estonia,,,,,,,,,,,,,,1194.189,1711.271,2721.005,3379.95,3686.89,4096.127,4151.432,4084.938,4516.219,5358.418,7216.265,8923.191,10426.689,12657.064,16764.936,18273.297,14756.39,14696.814,17484.728,17414.24,19056.283,20253.974,17403.806,18290.293,20430.567,23176.358,23427.074,23576.356,27962.284,29343.929,31215.84,33346.251,35683.025,38083.797,40396.935
Eswatini,1329.789,1359.195,1174.424,1167.158,963.592,736.012,909.797,1149.956,1320.95,1305.673,1558.18,1574.778,1703.465,1747.48,1851.22,2160.27,2005.245,2105.168,1914.241,1861.496,1818.67,1599.207,1473.717,2235.678,2797.022,3174.588,3262.223,3402.163,3214.488,3479.71,4263.91,4603.196,4628.132,4325.841,4133.645,3766.458,3513.8,4031.056,4225.743,4031.719,3535.09,4164.801,4056.177,4188.604,4381.636,4544.964,4709.743,4879.997
Ethiopia,215.178,215.599,220.557,237.661,217.423,246.507,247.981,256.699,257.56,262.233,269.082,287.651,293.35,176.465,151.965,142.808,154.564,147.254,129.859,121.551,128.621,123.892,116.452,120.601,138.282,164.937,198.696,244.495,326.82,351.341,324.285,361.829,493.321,535.264,613.101,702.767,790.82,829.313,852.011,968.253,994.197,995.67,1097.584,1226.096,1339.34,1476.053,1625.041,1751.653
Fiji,2056.073,2062.163,1941.771,1781.084,1828.856,1744.388,1954.085,1776.896,1672.492,1747.117,1959.194,2012.454,2208.958,2339.817,2590.933,2775.116,2975.914,2905.473,2282.246,2656.26,2286.992,2238.548,2467.527,3079.607,3601.622,3943.27,4041.487,4405.164,4535.432,3673.958,4004.674,4797.051,5017.72,5268.164,5611.185,5385.516,5620.575,6049.889,6272.733,6126.636,4976.203,4748.91,5341.288,5868.383,6547.174,6983.553,7386.517,7761.167
Finland,11257.795,10990.447,11036.936,10545.058,10889.934,11488.754,14998.341,18632.076,22122.56,24040.639,28489.569,25646.579,22496.237,17661.586,20429.387,26347.514,25833.03,24759.979,26074.066,26241.797,24379.783,25001.18,27008.262,32961.92,37816.081,39147.216,41308.623,48590.198,53897.91,47541.746,46647.002,51263.574,47850.555,50006.019,50434.791,42867.09,43865.756,46437.211,50032.02,48667.723,49157.627,53774.197,50818.382,51177.006,52790.327,54809.935,57010.696,59311.54
France,13069.505,11456.04,10822.037,10292.761,9697.432,10108.561,13947.316,16793.955,18240.997,18236.767,22490.289,22406.387,24590.746,23082.715,24262.184,27741.294,27720.861,25028.466,25818.37,25550.782,23212.45,23245.258,25137.402,30682.636,35016.219,36057.117,37795.916,43060.031,47155.211,43190.972,42178.577,45419.973,42372.071,44144.617,44616.455,37937.861,38348.507,40134.128,43060.59,41924.837,40377.526,45187.772,42330.451,42646.028,44430.995,46193.258,47906.072,49579.068
Gabon,6093.615,5376.616,4930.527,4619.015,4346.388,4478.468,5735.355,4245.955,4581.144,4899.234,6815.634,5993.32,6015.511,5677.618,4293.942,4956.842,5552.917,5068.093,4161.617,4222.734,4477.321,4065.933,4210.284,5015.596,5837.617,6942.698,7271.093,8652.145,10418.276,7856.853,8933.306,10893.464,9903.41,9760.747,9746.786,7453.114,7082.218,7370.349,8220.504,8111.34,7277.369,9482.513,10281.775,9849.729,10024.047,10301.63,10663.777,11088.084
"Gambia, The",1007.791,907.551,827.984,800.7,552.842,645.904,484.263,623.605,695.347,701.786,790.827,801.579,830.589,840.415,804.334,815.289,826.192,818.814,815.332,811.257,766.199,737.063,631.566,581.319,642.755,665.721,662.362,780.379,924.514,833.282,860.639,762.761,742.78,700.515,607.429,649.511,683.998,676.656,729.035,768.921,747.886,816.38,846.171,882.469,923.929,967.503,1003.393,1043.368
Georgia,,,,,,,,,,,,,,,172.502,413.487,688.365,818.069,869.52,690.38,763.715,820.016,875.193,1034.539,1338.078,1682.51,2052.269,2700.438,3419.91,2890.709,3221.628,4003.46,4409.627,4622.549,4742.498,4017.622,4060.893,4358.594,4718.794,4693.66,4263.133,5014.158,6769.73,7269.857,8002.732,8786.82,9630.049,10537.145
Germany,11109.741,9329.591,9014.978,9025.206,8537.765,8678.853,12387.01,15411.529,16514.654,16232.121,20249.138,23453.063,26538.043,25602.961,27233.549,31829.61,30664.299,27170.747,27528.158,26984.243,23924.876,23869.773,25460.334,30668.849,34534.814,35020.197,36894.468,42299.862,46367.859,42338.713,42379.71,46697.376,43883.393,46299.371,48035.802,41107.222,42124.196,44636.833,47961.036,46798.83,46735.314,51237.643,48397.797,49430.056,52017.622,54530.901,56889.584,59140.694
Ghana,3489.497,5537.473,6271.521,4114.248,1391.717,1213.391,1094.395,895.18,930.23,924.067,1045.595,1142.797,1102.843,881.079,793.796,918.741,950.015,945.584,1002.604,1012.277,606.501,630.698,714.42,860.469,973.287,1151.305,1320.283,1520.642,1688.077,1477.649,1757.045,2131.746,2197.908,2405.768,2003.714,1784.248,1982.239,2086.598,2275.772,2265.715,2274.572,2521.387,2368.814,2130.131,2163.402,2224.09,2303.571,2405.94
Greece,5898.163,5376.978,5576.511,5008.015,4854.243,4791.75,5623.163,6522.421,7568.289,7812.784,9597.714,10196.17,11139.445,10363.63,11029.098,12887.889,13660.507,13370.349,13412.55,13784.361,12164.719,12473.285,14065.791,18378.281,21829.501,22417.643,24648.873,28656.233,31902.014,29577.642,26743.4,25437.01,21845.045,21712.016,21554.224,18023.869,17906.08,18552.181,19750.743,19130.444,17603.435,20263.285,20875.779,21371.686,22307.315,23303.713,24339.466,25227.654
Grenada,1245.62,1276.37,1346.874,1372.669,1477.916,1678.085,1872.462,2162.546,2408.732,2757.871,2887.011,3117.904,3192.22,3153.808,3272.547,3411.983,3632.676,3861.381,4370.62,4705.807,5056.978,5041.015,5213.797,5682.707,5741.653,6644.217,6658.218,7213.002,7832.366,7290.821,7258.182,7291.739,7444.082,7789.618,8370.031,9096.535,9628.26,10152.834,10466.805,10834.496,9273.2,9856.433,10476.518,11155.907,11739.428,12325.353,12923.27,13508.909
Guatemala,1070.284,1140.215,1126.186,1139.957,1163.059,1338.718,705.755,796.957,841.769,946.757,808.879,966.003,1045.432,1110,1228.967,1348.884,1408.233,1559.644,1656.359,1527.239,1555.638,1654.953,1795.772,1847.291,1951.798,2151.742,2336.955,2556.76,2873.086,2654.1,2836.06,3172.124,3267.792,3397.625,3632.101,3825.882,3982.02,4233.007,4247.463,4379.802,4318.636,4687.768,4879.866,5006.655,5280.856,5545.519,5815.013,6094.946
Guinea,,,,,,,,,,,616.321,660.444,678.626,639.332,626.432,655.749,656.708,628.192,591.511,557.831,461.784,427.879,444.663,517.03,538.88,470.57,426.419,628.711,675.387,637.478,630.549,540.562,637.79,712.977,728.729,712.049,679.964,796.038,891.887,986.528,1015.064,1127.817,1345.568,1445.252,1511.337,1577.536,1639.18,1712.697
Guinea-Bissau,370.185,463.692,516.549,570.682,388.702,559.368,534.912,444.504,406.033,478.384,571.817,787.213,843.597,636.881,344.118,725.815,676.103,628.438,517.661,496.411,327.943,338.362,374.5,435.072,447.804,482.181,467.998,543.408,672.251,613.569,644.344,775.206,688.497,711.927,712.826,707.897,748.089,864.141,894.667,836.954,838.847,917.86,856.62,873.769,926.851,986.391,1050.441,1111.131
Guyana,1101.855,1055.839,904.864,921.541,861.055,924.305,1053.703,982.258,1125.871,1146.242,950.968,1036.884,1145.783,1392.984,1626.898,1832.399,2048.527,2161.647,2035.856,2010.769,2017.2,2023.617,2092.961,2144.109,2232.996,2305.907,2551.768,2982.217,3329.637,3457.367,3837.303,4402.775,5360.276,5476.744,5402.703,5579.974,5796.819,6104.158,6120.536,6594.375,6952.702,9777.573,18744.631,21162.336,23855.772,28700.708,34578.01,35367.571
Haiti,447.907,484.33,494.856,521.763,567.915,619.461,676.077,327.179,212.61,192.614,240.23,211.528,124.533,147.025,397.214,618.383,626.299,706.797,773.837,847.945,794.059,720.822,684.333,540.556,660.218,773.35,794.79,991.684,1074.359,1168.747,1175.199,1269.346,1316.496,1408.807,1408.669,1359.209,1263.434,1337.16,1441.864,1277.213,1235.476,1765.242,1672.69,1791.914,1828.947,1866.556,1906.89,1941.726
Honduras,1080.431,1066.902,1091.787,1111.123,1183.298,1232.425,1287.141,1362.483,1469.405,1635.7,993.487,911.761,942.61,919.585,836.608,948.437,888.006,948.715,1023.398,1003.065,1093.106,1133.185,1134.068,1158.179,1217.816,1308.089,1430.056,1583.048,1739.357,1789.707,1904.346,2088.311,2144.337,2102.595,2206.056,2302.204,2342.024,2451.936,2506.62,2568.062,2396.648,2816.187,2969.35,3079.512,3152.015,3266.508,3409.737,3555.176
Hong Kong SAR,5703.963,5995.182,6139.013,5590.161,6170.503,6490.372,7380.118,9015.195,10527.458,12012.634,13374.312,15297.577,17710.506,20065.68,22194.005,23070.541,24698.956,27214.595,25649.085,24969.005,25574.491,25166.902,24731.081,23856.482,24873.898,26551.769,28028.157,30494.551,31487.94,30593.991,32421.361,34955.147,36623.745,38233.352,40185.303,42325.352,43488.204,46025.665,48310.038,48274.944,46443.583,49865.353,49699.594,52132.076,54494.003,56912.038,59514.662,62015.321
Hungary,2151.468,2207.127,2249.984,2046.399,1989.903,2022.961,2338.799,2582.847,2838.561,2909.702,3312.337,3350.242,3733.447,3871.071,4170.571,4491.215,4520.76,4591.492,4738.015,4786.245,4619.293,5269.607,6644.61,8410.769,10275.774,11188.448,11469.411,13904.826,15742.787,13035.623,13173.209,14195.846,12935.511,13665.526,14251.799,12690.167,13086.074,14608.721,16423.28,16731.469,16044.088,18732.38,18982.752,20118.669,21776.754,23286.82,24834.886,26437.626
Iceland,15129.182,15449.046,14003.083,11857.373,12130.436,12506.275,16571.593,22776.756,24820.302,22627.388,25629.431,27159.576,27357.171,23725.669,24117.987,26682.487,27713.605,28048.848,31219.801,32577.642,32344.364,29061.339,32516.441,39620.411,47579.937,57405.559,58238.886,70375.326,57296.251,41188.906,43293.021,47798.807,46159.8,50100.084,54864.159,53227.627,62530.419,73085.132,75374.147,69542.649,59578.822,69422.382,73981.336,77960.826,83431.627,88660.708,94559.028,100741.62
India,271.031,274.726,277.965,296.291,281.099,302.945,315.161,346.171,357.799,352.182,374.002,308.37,322.512,306.44,352.172,380.321,406.968,422.809,420.573,449.751,451.089,459.491,479.248,556.316,638.787,726.917,814.353,1046.898,1019.511,1121.248,1384.174,1458.106,1443.882,1449.61,1573.885,1605.605,1732.554,1980.668,1998.259,2072.246,1933.1,2279.514,2465.865,2691.196,2911.237,3146.799,3394.88,3651.672
Indonesia,673.239,736.992,741.946,659.474,672.201,658.217,610.234,562.902,621.934,696.874,770.757,847.573,907.767,1013.057,1115.613,1254.023,1394.497,1308.114,572.09,829.574,870.154,834.139,1002.907,1186.845,1280.696,1403.876,1764.79,2064.232,2418.043,2464.956,3178.133,3688.531,3744.53,3684,3533.606,3367.691,3605.721,3885.465,3947.248,4194.086,3930.973,4361.16,4691.236,5005.483,5382.77,5776.632,6185.066,6617.749
Iran,2439.396,2485.685,2965.579,3560.281,3531.17,3793.905,4225.457,5467.98,6009.203,7133.821,10661.483,5445.574,890.842,1121.078,1368.369,1941.99,2631.462,3018.96,3314.906,4400.622,5776.857,5124.766,2020.838,2353.361,2764.807,3291.94,3863.502,5045.686,5890.712,6016.8,6983.777,8322.46,5548.306,5561.453,5910.083,5172.134,5730.831,6005.051,6288.938,7842.602,11556.954,18739.308,23033.523,23619.064,24432.877,25265.748,26129.872,27076.787
Iraq,,,,,,,,,,,,,,,,,,,,,,,,608.655,1373.738,1828.738,2321.258,3090.851,4472.118,3701.862,4473.71,5848.537,6692.576,7021.406,6704.313,5044.624,4639.257,5178.921,5862.311,5973.838,4222.112,5021.073,6695.851,6319.575,6277.903,6273.906,6334.093,6448.271
Ireland,6252.207,5886.368,6078.144,5839.832,5591.81,5934.548,7993.15,9419.506,10365.284,10754.616,13644.791,13748.196,15331.894,14262.798,15455.354,19086.797,20781.392,22468.61,24202.501,26233.712,26186.264,28120.1,32482.077,40940.136,47389.262,50476.482,53738.836,60770.052,60989.977,51943.467,48620.625,52122.087,49029.287,51472.086,55542.018,61902.659,62668.052,69685.259,78988.565,80690.152,85225.087,100129.453,102217.439,106997.402,114728.195,120692.713,127144.26,133760.412
Israel,6356.512,6687.246,7040.572,7688.749,7186.116,6562.369,7955.128,9349.086,11391.527,11394.325,13035.678,13924.043,15021.162,14708.299,16367.635,18927.89,20153.193,20410.422,20119.211,19766.941,21641.299,20918.337,19044.915,19634.852,20565.767,21233.796,22501.119,25647.697,30182.526,28330.228,31278.046,34366.858,33170.022,36957.353,38276.63,36221.118,37701.931,41131.719,42422.85,44466.798,44850.441,52151.927,55358.835,58273.435,60082.797,61846.74,63650.914,65625.584
Italy,8559.468,7749.767,7652.888,7936.213,7840.76,8093.591,11461.158,14385.826,15934.159,16560.648,20651.767,21795.672,23116.604,18572.914,19149.546,20675.32,23094.426,21858.45,22348.051,22029.683,20153.067,20505.939,22386.279,27580.457,31342.833,32031.448,33448.085,37828.34,40818.96,36982.806,35815.593,38276.034,34743.751,35534.99,35836.161,30463.696,31190.776,32648.756,34917.563,33627.862,31707.096,35472.803,33739.75,33662.304,34835.869,36092.595,37470.14,38774.57
Jamaica,1214.379,1310.503,1479.509,1289.23,948,878.359,1034.771,1158.596,1372.734,1588.557,1971.695,1799.773,1804.411,2249.32,2234.803,2660.153,2975.134,3347.367,3467.544,3473.435,3510.575,3529.711,3709.572,3586.441,3855.674,4241.399,4494.63,4829.296,5134.246,4507.186,4894.369,5332.52,5448.456,5238.147,5105.511,5204.825,5183.462,5413.03,5729.757,5781.785,5102.762,5614.81,5870.1,5984.114,6172.773,6493.177,6752.732,7008.089
Japan,9659,10574.371,9772.809,10636.463,11205.352,11815.804,17466.671,21177.787,25575.098,25336.199,25895.956,29511.775,32069.069,36425.222,39953.195,44210.242,39164.322,35651.27,32436.923,36622.885,39172.963,34410.68,32832.296,35410.222,38307.096,37819.1,36021.9,35847.226,39992.06,41469.773,45135.796,48760.905,49175.054,40934.756,38522.771,35005.656,39411.424,38903.298,39850.367,40566.311,39981.484,39301.07,34357.864,35033.911,36832.757,38982.749,40799.801,42347.019
Jordan,1694.589,1835.938,1884.123,1899.891,1841.321,1778.343,2190.163,2222.874,2002.619,1290.011,1203.194,1191.517,1391.966,1357.66,1449.044,1494.348,1509.576,1541.175,1650.348,1670.089,1703.199,1773.963,1858.309,1934.83,2108.801,2251.553,2591.481,2820.767,3454.31,3559.692,3736.645,3852.89,3915.87,4050.139,4137.283,4169.99,4181.254,4237.443,4314.243,4411.709,4288.805,4412.028,4666.199,4929.731,5199.829,5495.191,5798.325,6109.064
Kazakhstan,,,,,,,,,,,,,168.645,304.849,751.98,1061.475,1358.804,1459.416,1480.091,1132.126,1230.49,1491.652,1657.157,2062.291,2862.5,3753.439,5261.026,6733.448,8349.288,7116.372,9005.041,11552.573,12300.185,13789.174,12713.563,10435.169,7662.006,9186.712,9749.07,9750.431,9062.958,10306.2,11590.632,12432.326,12850.573,13232.845,13609.813,13881.734
Kenya,855.471,776.778,721.655,644.505,646.568,622.803,716.685,758.168,759.5,728.334,737.217,674.688,644.604,434.817,505.909,623.714,686.847,677.772,742.089,647.889,617.147,617.055,611.901,668.483,692.718,778.333,854.992,1028.239,1118.769,1123.268,1176.311,1178.599,1396.22,1490.422,1613.101,1625.176,1688.852,1805.398,1983.028,2107.735,2072.81,2219.239,2255.48,2258.053,2350.88,2468.393,2590.806,2702.559
Kiribati,710.42,734.209,670.98,620.845,667.442,499.974,479.459,529.522,649.788,627.533,594.271,642.924,643.903,621.703,715.435,720.549,847.867,840.499,806.333,833.736,803.324,734.58,827.798,1020.831,1132.962,1214.941,1168.998,1377.365,1456.192,1331.192,1512.468,1726.239,1783.594,1715.889,1628.35,1537.93,1587.423,1649.393,1696.174,1513.51,1519.519,1705.808,1672.824,1731.738,1788.478,1839.952,1883.302,1925.128
"Korea, Republic of",1714.62,1883.456,1992.29,2198.939,2413.291,2482.4,2834.888,3554.62,4748.676,5817.065,6609.985,7637.199,8126.451,8886.386,10381.18,12565.033,13402.925,12416.754,8271.412,10666.862,12263.471,11563.04,13159.675,14672.418,16482.75,19398.494,21730.952,24083.338,21387.709,19139.732,23077.161,25100.188,25459.168,27179.519,29252.933,28737.439,29274.232,31600.735,33447.154,31902.417,31728.304,35003.822,33591.577,34767.205,36488.91,38133.572,39856.518,41623.29
Kosovo,,,,,,,,,,,,,,,,,,,,,1506.094,1704.288,1807.197,2205.535,2274.678,2318.3,2400.14,2865.639,3025.013,2878.492,3013.162,3562.033,3396.893,3699.477,3920.467,3554.1,3745.863,3991.249,4389.631,4432.996,4297.829,5126.475,5229.792,5559.371,5962.425,6380.977,6786.416,7178.295
Kuwait,20966.177,17631.854,14417.541,12973.988,13410.421,12670.687,9653.473,10956.483,9640.407,11359.505,8588.145,7960.513,13989.932,16213.488,13549.775,13871.989,15068.13,13740.681,11424.919,13358.134,17012.776,15108.112,15759.074,18786.749,21585.563,27014.773,31907.199,33732.522,42827.126,30414.739,32216.413,41657.444,45726.188,44754.341,40278.045,27398.083,25267.146,27194.073,29903.564,28513.431,22683.638,28665.167,38123.224,35255.065,34559.572,34350.805,34461.024,34631.246
Kyrgyz Republic,,,,,,,,,,,,,207.976,148.155,245.851,329.934,396.495,379.056,344.404,258.467,280.635,309.913,323.343,382.888,436.496,478.77,546.621,725.487,971.678,876.933,884.846,1131.471,1189.517,1295.225,1292.621,1132.843,1131.841,1254.51,1321.954,1388.647,1195.723,1282.979,1434.873,1569.737,1640.489,1713.933,1790.167,1853.859
Lao P.D.R.,596.196,341.873,334.404,596.412,831.39,1017.414,691.926,473.879,300.081,360.325,414.261,474.15,528.183,578.467,654.369,741.537,753.99,696.054,259.296,270.226,323.04,324.75,335.686,405.322,468.205,535.248,672.947,800.15,983.374,1045.979,1201.126,1412.137,1581.818,1830.284,1997.957,2138.833,2323.281,2452.861,2567.549,2620.925,2546.097,2513.244,2172.151,1984.289,1933.4,1965.582,2059.428,2161.753
Latvia,,,,,,,,,,,,,632.991,1022.374,1725.206,2163.746,2419.564,2670.492,2961.556,3140.583,3343.185,3553.667,4120.694,5121.737,6342.833,7569.828,9690.456,14079.583,16435.208,12243.071,11316.935,13371.009,13786.589,14927.223,15685.975,13728.365,14259.247,15626.276,17806.561,17871.427,17622.776,20546.121,21481.52,22764.036,24294.123,25868.99,27602.305,29455.772
Lebanon,1552.837,1481.175,1005.587,1377.269,1618.263,1344.575,1044.67,1219.75,1217.822,983.644,999.179,1503.376,1778.897,2290.378,2641.04,3109.262,3551.799,4246.445,4618.673,4582.361,4428.662,4349.954,4504.149,4440.345,4630.727,4575.074,4626.82,5207.76,6111.36,7354.971,7761.616,7675.291,7948.646,7928.317,7681.707,7642.96,7617.732,7776.012,8003.824,7421.491,3588.705,,,,,,,
Lesotho,340.852,337.16,273.569,293.235,267.36,208.686,233.93,291.915,322.488,325.872,382.327,427.81,477.277,465.397,480.692,514.122,490.549,516.861,475.868,466.514,453.282,374.971,410.133,592.302,738.561,791.265,809.56,930.798,868.532,1011.42,1222.197,1324.607,1261.443,1191.994,1250.627,1106.83,1105.765,1166.068,1150.976,1122.337,999.205,1181.104,1186.744,1208.123,1247.849,1293.758,1322.467,1341.678
Liberia,,,,,,,,,,,,,,,,,,,,,303.151,305.914,311.769,231.891,286.104,293.47,333.151,388.156,464.44,470.219,505.355,582.605,646.648,716.566,708.812,691.359,709.804,706.249,677.356,623.874,600.462,677.356,735.185,769.099,760.869,787.429,825.759,873.833
Libya,13449.648,11107.625,10575.644,9671.452,8681.163,8586.407,6733.969,6002.067,5981.627,6070.096,7424.17,8026.293,7950.512,6998.262,6391.134,7102.861,7608.817,7663.003,6171.767,7294.482,7625.01,6693.083,3956.483,4986.326,6180.388,8739.202,10561.373,11801.274,14762.577,10202.806,12478.016,8132.317,14728.067,12025.599,9166.555,7706.743,7817.63,10414.137,11773.757,10526.294,7056.745,5813.324,6025.68,6391.76,6599.02,6836.318,6964.622,7095.951
Lithuania,,,,,,,,,,,,,,,,1845.103,2327.496,2830.268,3166.72,3113.271,3293.307,3525.849,4140.734,5499.475,6699.372,7860.178,9236.616,12305.917,15017.555,11848.202,12009.033,14393.268,14376.001,15734.38,16577.328,14265.41,15004.186,16879.45,19194.88,19577.941,20216.057,23385.93,24031.619,25655.987,27554.609,29402.079,31240.019,32991.66
Luxembourg,17666.745,15190.085,12464.023,12234.668,11984.274,12393.783,17950.002,22149.518,24875.488,26226.903,33066.888,35346.49,39061.02,39483.057,43306.887,50705.085,49718.865,44202.559,45636.553,49341.225,48984.173,48719.11,53227.552,66160.476,77030.646,81728.632,91478.072,108343.849,121616.145,110249.419,112049.15,120526.246,113953.492,121423.168,125200.137,106710.076,107948.199,111211.579,118466.355,114357.509,117063.654,136701.396,127672.531,128819.444,134795.973,140036.708,145413.767,151082.067
Macao SAR,,,,,,,,,,,,,,,,,,,,,,15723.751,16733.977,18461.835,23005.586,25109.973,28970.428,34268.703,38286.226,39822.349,51135.159,66111.715,74209.139,84833.692,86298.091,69647.776,69887.828,77233.097,82835.778,81231.549,37455.87,43771.842,33608.412,55644.206,73829.384,83426.729,89058.346,93318.129
Madagascar,599.371,534.073,522.936,498.801,404.876,383.873,427.478,307.636,297.42,288.402,347.714,280.355,311.649,331.998,279.38,295.539,368.663,309.351,310.104,292.558,307.335,350.5,334.838,387.055,298.635,335.388,355.397,459.855,561.654,488.901,492.67,553.45,538.541,560.939,548.905,481.807,489.439,528.379,535.948,531.75,477.545,506.905,521.578,539.635,561.66,590.823,620.779,656.536
Malawi,460.392,447.79,416.18,419.657,400.328,358.713,354.471,327.758,354.718,384.328,420.593,523.591,422.469,483.263,278.145,319.894,512.064,583.417,373.078,368.272,352.65,338.478,384.137,345.163,365.696,377.042,400.898,432.115,504.65,571.113,623.414,695.331,506.3,446.999,484.322,497.737,415.016,466.559,501.113,543.685,567.59,558.872,522.963,482.55,482.218,485.389,495.364,510.436
Malaysia,1926.963,1920.127,2006.482,2189.553,2419.501,2154.458,1864.031,2070.009,2213.866,2380.512,2585.824,2885.098,3380.219,3717.374,4028.37,4672.139,5176.282,4996.967,3520.915,3762.771,4347.727,4189.053,4441.812,4740.324,5244.861,5678.747,6354.977,7485.942,8771.026,7550.251,9054.109,10413.693,10815.088,10858.449,11172.4,9663.283,9544.246,9969.495,11086.113,11231.539,10361.276,11407.678,13107.875,13942.624,14826.034,15717.845,16623.911,17523.628
Maldives,412.508,464.914,534.906,560.243,646.388,737.78,835.636,769.824,897.934,987.814,1091.55,1184.664,1343.012,1479.446,1591.14,1903.127,2107.605,2553.949,2658.803,2842.658,2967.253,2780.451,2952.215,3690.792,4238.041,3960.43,5268.793,6128.48,7337.951,7450.805,8086.697,8078.305,8719.582,9766.235,10787.471,11781.029,12348.712,13200.955,14479.839,15056.424,9882.737,13539.302,15097.148,16439.527,17567.224,18609.084,19699.47,20859.577
Mali,286.454,229.416,198.621,187.965,184.082,182.083,249.094,286.223,283.437,340.745,381.395,380.32,381.039,369.975,275.823,348.164,347.271,317.786,321.178,323.608,270.663,307.708,336.179,393.308,440.758,489.293,523.071,597.55,697.011,700.95,710.854,837.458,779.118,805.046,848.522,751.553,780.509,829.713,895.211,879.08,863.787,918.129,857.976,876.084,921.004,954.306,1002.158,1042
Malta,3811.847,3691.859,3467.399,3262.692,3114.332,3126.09,3953.405,4898.042,5522.986,5728.285,6811.662,7215.068,7945.163,7009.556,7684.416,8978.862,9107.638,9147.98,9621.951,9983.877,10482,10447.791,11346.456,13730.313,15260.887,15930.142,16818.012,19696.182,22378.184,21223.678,21842.065,23222.385,22674.787,24972.679,27080.097,25228.175,25897.872,29295.32,32175.984,31866.528,28997.27,33667.367,32912.469,33792.944,35419.924,37377.678,39446.751,41598.427
Marshall Islands,,,,,,,,,,,,,,,,,,2257.329,2276.743,2269.421,2237.183,2416.081,2651.491,2619.045,2625.82,2668.167,2749.066,2864.642,2894.225,2864.633,3030.394,3239.108,3383.558,3451.206,3388.375,3406.479,3720.619,3898.576,4061.676,4302.655,4436.447,4637.301,4858.526,5086.038,5254.665,5412.93,5559.53,5710.101
Mauritania,,,,,,,,,,,898.741,1002.023,1026.904,852.513,872.712,912.587,904.326,854.319,812.206,773.412,673.361,641.849,634.588,711.709,796.923,963.498,1357.425,1425.466,1647.288,1475.591,1715.923,2012.828,1946.079,2072.492,1826.78,1668.065,1690.813,1758.542,1882.203,1987.267,2076.432,2332.898,2328.251,2365.826,2639.274,2722.581,2727.727,2741.566
Mauritius,1268.107,1186.583,1124.4,1179.733,1080.41,1085.141,1454.116,1827.431,2104.548,2146.046,2555.86,2781.631,3091.412,3148.796,3446.307,3902.222,3993.479,3703.632,3701.865,3859.149,4102.593,4026.943,4196.429,5005.417,5626.004,5516.198,5695.975,6574.664,8030.052,7318.126,8000.376,9197.043,9291.236,9637.016,10151.727,9258.563,9681.416,10485.014,11205.369,11099.233,8625.9,8827.236,9111.606,9831.895,10679.193,11416.653,12059.028,12618.536
Mexico,3383.685,4238.762,3002.229,2390.4,2755.013,2859.223,1937.362,2080.398,2493.816,2979.921,3450.198,4059.987,4624.006,5636.355,5841.023,3920.738,4405.105,5283.079,5477.928,6157.249,7166.141,7558.975,7607.443,7088.462,7501.914,8303.985,9102.514,9680.432,10053.737,8029.296,9299.455,10232.411,10271.406,10758.984,10967.113,9657.118,8788.588,9342.92,9753.667,10025.539,8528.109,10061.534,10947.978,11250.506,11541.807,11896.574,12283.116,12694.346
"Micronesia, Fed. States of",,,,,,,,,,,,,,,,2094.48,2060.874,1944.21,2054.62,2061.643,2179.424,2257.322,2277.946,2311.653,2268.897,2370.444,2413.778,2457.377,2531.364,2711.063,2887.354,3021.694,3170.962,3068.371,3082.895,3050.723,3197.214,3522.106,3854.141,3979.067,3935.559,3880.396,4072.076,4308.712,4503.12,4635.2,4755.776,4873.606
Moldova,,,,,,,,,,,,,290.058,373.927,389.592,485.354,572.302,653.525,575.974,398.41,448.062,505.784,569.109,680.272,894.061,1031.422,1179.323,1526.379,2102.942,1890.647,2428.106,2930.062,3031.129,3307.351,3314.553,2715.782,2857.879,3422.643,4121.047,4376.654,4377.542,5284.908,5528.591,5743.15,6128.088,6748.845,7395.583,8086.193
Mongolia,,,,,,,,,,,1288.653,1324.852,722.215,352.304,419.198,647.441,592.439,511.954,480.917,445.544,473.198,521.317,566.403,639.373,789.958,989.177,1321.606,1616.138,2109.269,1687.55,2602.373,3702.359,4281.33,4293.834,4081.015,3800.11,3575.095,3612.716,4078.182,4309.049,3965.097,4482.853,4541.572,4725.373,5208.602,5644.828,6018.317,6354.746
Montenegro,,,,,,,,,,,,,,,,,,,,,1596.628,1893.716,2081.045,2745.758,3379.643,3679.829,4429.802,5985.426,7396.665,6746.378,6694.168,7327.253,6590.58,7189.048,7389.894,6517.42,7031.531,7800.27,8854.776,8911.275,7688.549,9433.03,9849.566,10721.554,11576.322,12260.209,12963.714,13694.483
