Country,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027
Bangladesh,311.093,322.318,294.02,277.489,303.3,317.511,318.062,339.17,355.592,378.07,398.05,402.354,400.912,395.867,411.91,450.133,471.268,479.354,488.077,491.461,497.807,497.045,499.906,533.545,569.732,594.253,610.469,668.54,760.65,841.252,935.755,1032.313,1057.884,1176.16,1340.289,1495.538,1679.021,1839.755,1991.739,2154.227,2270.348,2497.741,2734.109,2846.84,3150.674,3475.089,3807.153,4171.06
Barbados,4036.509,4427.056,4611.693,4882.788,5308.313,5539.558,6062.784,6653.718,7052.007,7776.714,7772.174,7777.866,7464.866,7886.782,8194.382,8414.115,8938.565,9412.367,10573.109,11039.097,11337.027,11284.369,11442.562,11788.654,12612.206,13939.669,15334.01,16925.611,17254.227,16036.404,16203.257,16599.012,16371.952,16556.104,16572.311,16589.45,16947.632,17423.251,17758.083,18448.826,16245.057,16817.275,20003.712,21636.413,22934.737,24124.835,25158.949,26056.632
Belarus,,,,,,,,,,,,,1252.792,1114.104,1533.721,1034.931,1429.059,1396.112,1514.669,1210.965,1079.61,1283.273,1524.49,1873.667,2450.9,3221.463,3968.753,4887.275,6581.175,5345.325,6025.686,6478.889,6948.345,7995.733,8337.145,5958.838,5037.854,5778.564,6351.76,6831.516,6515.654,7295.015,8567.349,9937.121,10320.854,10698.591,11023.415,11418.299
Belgium,12529.348,10366.108,9128.584,8626.16,8244.846,8568.653,11873.806,14740.456,16008.638,16098.158,20119.935,20563.729,22823.029,21723.624,23624.467,28458.469,27535.287,24878.749,25399.222,25309.057,23136.511,23067.163,25044.331,30707.665,35497.552,36945.499,38841.785,44496.791,48493.137,44892.228,44448.17,47564.381,44824.163,46848.612,47897.037,41147.261,42076.398,44274.073,47689.493,46740.49,45238.677,51849.343,50597.868,50906.083,52785.965,54627.801,56487.143,58351.949
Belize,1485.189,1544.093,1514.544,1553.175,1687.191,1628.2,1723.846,1964.493,2275.713,2557.259,2819.969,2981.814,3374.418,3542.791,3555.727,3677.903,3729.822,3675.268,3738.251,3908.248,4333.93,4409.66,4564.499,4704.716,4907.717,5030.684,5305.205,5505.176,5544.551,5279.865,5379.294,5462.937,5577.937,5820.051,5958.676,5969.551,5895.159,5835.402,5740.772,5804.762,4791.467,5638.403,6096.324,6381.297,6524.238,6655.5,6789.399,6925.987
Benin,633.149,413.923,397.573,340.867,352.496,370.342,462.435,535.192,544.339,491.148,580.415,573.657,615.86,579.434,389.725,506.864,533.491,497.342,519.56,552.369,512.9,518.071,574.524,711.107,798.382,823.24,856.1,966.318,1125.303,1087.576,1037.381,1130.074,1145.865,1251.228,1291.743,1076.906,1086.987,1136.193,1240.838,1218.278,1290.5,1417.42,1366.871,1382.594,1447.365,1538.298,1635.808,1739.021
Bhutan,301.912,317.384,325.479,343.169,346.705,349.039,382.259,447.284,496.565,483.64,514.626,446.274,442.838,470.84,484.426,569.737,594.213,654.919,701.797,716.174,758.308,767.831,813.421,950.504,1059.205,1215.288,1278.66,1548.106,1936.306,1797.535,2097.54,2511.435,2592.37,2609.758,2546.857,2767.781,2857.443,3137.633,3413.308,3322.527,3247.926,3245.411,3562.306,3855.767,4187.448,4543.437,4898.229,5261.567
Bolivia,695.535,615.66,668.55,619.896,631.152,668.921,640.94,683.625,712.146,715.525,723.431,776.711,803.547,793.646,805.183,886.368,956.965,1006.102,1057.72,1010.58,994.617,949.383,904.851,908.203,968.545,1037.176,1226.845,1383.894,1729.369,1769.441,1972.684,2368.523,2635.933,2938.421,3114.966,3069.319,3110.874,3388.523,3588.089,3591.403,3172.556,3449.384,3631.335,3791.358,3989.069,4189.652,4383.768,4582.408
Bosnia and Herzegovina,,,,,,,,,,,,,,,,,952.331,1225.456,1415.096,1540.514,1480.624,1540.266,1785.289,2254.449,2699.054,2903.602,3306.785,4073.011,4984.537,4711.119,4633.861,5089.853,4773.164,5141.572,5252.939,4607.669,4816.264,5159.992,5773.366,5787.063,5721.463,6712.17,6818.396,7081.53,7598.234,8078.219,8592.528,9127.683
Botswana,1281.65,1110.876,1130.197,1204.322,1153.418,1035.551,1354.241,2046.746,2563.555,2761.856,2939.88,2857.355,2868.706,2810.534,2945.134,3241.828,3245.043,3228,3033.182,3350.85,3457.838,3260.578,3165.091,4306.454,4994.989,5465.344,5402.854,5633.943,5601.705,5179.67,6359.637,7497.568,6818.885,6919.46,7406.85,6380.274,6982.945,7303.674,7556.094,7247.454,6348.809,7337.466,7347.738,7462.962,7865.432,8242.266,8718.723,9225.462
