Country,WC1,WC2,FT,QS,G,W,D,L,G+,G-,GD,P2+,P%,P+,P3+
Aruba,5,5,5,12,2,1,9,18,37,-19,5:,19,"0,208",7,7
Nicaragua,6,6,6,16,2,1,13,10,39,-29,5:,27,"0,156",7,7
Guinea-Bissau,5,5,5,10,1,3,6,6,15,-9,5:,15,"0,250",6,6
Mauritania,5,-1,5,12,1,2,9,6,26,-20,4:,20,"0,167",5,5
Philippines,3,1,3,13,1,2,10,8,45,-37,4:,22,"0,154",5,5
Mauritius,6,-1,6,16,1,2,13,12,44,-32,4:,28,"0,125",5,5
Cambodia,4,2,4,16,1,2,13,11,62,-51,4:,28,"0,125",5,5
Andorra,4,4,4,42,1,2,39,12,139,-127,4:,80,"0,048",5,5
Sao_Tome/Principe,3,1,3,6,1,1,4,3,19,-16,3:,9,"0,250",4,4
Djibouti,3,2,3,11,1,1,9,5,48,-43,3:,19,"0,136",4,4
Mongolia,4,4,4,12,1,1,10,5,46,-41,3:,21,"0,125",4,4
US_Virgin_Islands,4,4,4,13,1,1,11,7,76,-69,3:,23,"0,115",4,4
American_Samoa,4,4,4,15,1,1,13,5,132,-127,3:,27,"0,100",4,4
Saarland,1,-15,1,4,1,1,2,4,8,-4,3:,5,"0,375",3,4
Eritrea,3,1,3,6,0,3,3,1,10,-9,3:,9,"0,250",3,3
Myanmar,2,2,2,6,1,0,5,2,16,-14,2:,10,"0,167",3,3
Central_African_Rep.,2,1,2,8,1,0,7,6,16,-10,2:,14,"0,125",3,3
British_Virgin_Islands,4,4,4,8,0,3,5,5,31,-26,3:,13,"0,188",3,3
Turks_&_Caicos,4,4,4,8,1,0,7,2,34,-32,2:,14,"0,125",3,3
Somalia,5,4,5,9,0,3,6,1,20,-19,3:,15,"0,167",3,3
Cayman_Islands,5,5,5,14,0,3,11,5,34,-29,3:,25,"0,107",3,3
Pakistan,7,7,7,28,0,3,25,11,115,-104,3:,53,"0,054",3,3
South_Vietnam,1,-10,1,3,1,0,2,1,5,-4,2:,4,"0,333",2,3
Seychelles,4,4,4,12,0,2,10,6,33,-27,2:,22,"0,083",2,2
San,Marino,6,6,6,56,0,2,54,9,259,-250,2:110,"0,018",2,2
South_Yemen,1,-7,1,2,0,1,1,4,7,-3,1:,3,"0,250",1,1
Afghanistan,3,3,3,6,0,1,5,2,21,-19,1:,11,"0,083",1,1
Anguilla,4,4,4,8,0,1,7,2,31,-29,1:,15,"0,063",1,1
Cook_Islands,5,5,5,16,0,1,15,8,60,-52,1:,31,"0,031",1,1
Guam,1,-3,1,2,0,0,2,0,35,-35,0:,4,"0,000",0,0
Comoros,2,2,2,4,0,0,4,3,15,-12,0:,8,"0,000",0,0
East-Timor,2,2,2,4,0,0,4,4,18,-14,0:,8,"0,000",0,0
Montserrat,4,4,4,7,0,0,7,5,41,-36,0:,14,"0,000",0,0
North_Yemen,2,-6,2,8,0,0,8,1,17,-16,0:,16,"0,000",0,0
Brunei,2,-3,2,12,0,0,12,2,57,-55,0:,24,"0,000",0,0
